ProtossPylon,ProtossSecondPylon,ProtossFirstGas,ProtossSecondGas,ProtossFirstExpansion,ProtossSecondExpansion,ProtossThirdExpansion,ProtossFourthExpansion,ProtossGateway,ProtossSecondGatway,ProtossThirdGatway,ProtossFourthGatway,ProtossCore,ProtossZealot,ProtossGoon,ProtossRange,ProtossForge,ProtossCannon,ProtossGroundWeapons1,ProtossGroundArmor1,ProtossShields1,ProtossGroundWeapons2,ProtossGroundArmor2,ProtossShields2,ProtossCitadel,ProtossLegs,ProtossArchives,ProtossTemplar,ProtossArchon,ProtossStorm,ProtossDarkTemplar,ProtossDarkArchon,ProtossMaelstorm,ProtossRoboBay,ProtossShuttle,ProtossShuttleSpeed,ProtossRoboSupport,ProtossReavor,ProtossReavorDamage,ProtossReavorCapacity,ProtossObservory,ProtossObs,ProtossStargate,ProtossCorsair,ProtossDisruptionWeb,ProtossFleetBeason,ProtossCarrier,ProtossCarrierCapacity,ProtossTribunal,ProtossArbitor,ProtossStatis,ProtossRecall,ProtossAirWeapons1,ProtossAirArmor1,ProtossAirWeapons2,ProtossAirArmor2,midBuild
1192,3428,2404,16418,9668,10834,13242,17470,1884,5650,11280,13946,2938,11658,4002,4550,17324,18612,18628,20598,28686,22692,27696,0,10340,11466,13714,16278,26182,14702,0,0,0,6594,11948,0,19100,0,0,0,8204,8850,16668,0,0,0,0,0,18508,19560,29706,23826,0,0,0,0,FastObs
1225,3470,2285,11205,7405,12975,16805,21660,1890,8295,8725,10615,2965,9890,3995,4555,16050,19015,18265,19760,40760,23455,28285,0,10670,11725,15960,17970,20205,0,0,0,0,5645,11010,15820,14490,0,0,0,6995,7605,27525,0,0,0,0,0,29225,30440,0,33455,0,0,0,0,FastObs
1250,3820,2660,10265,7870,17475,21240,22675,2035,2285,10455,11480,3300,14640,4475,4675,10105,10990,18345,0,0,25615,0,0,8180,12280,9800,16455,18380,0,11210,0,0,8840,10515,0,0,0,0,0,11690,12610,22045,0,0,0,0,0,25295,26665,0,0,0,0,0,0,FastExpand
1175,3440,2395,0,15165,18865,22210,0,1880,7195,8935,16750,2945,8995,3975,6795,18270,20460,19225,0,0,0,0,0,13790,14990,19360,21960,0,23100,21530,0,0,4655,7545,0,0,0,0,0,6065,6765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1270,3305,1965,18965,9955,13100,20195,25495,2520,8905,17320,18370,3610,19590,5320,5790,17245,18000,20590,40435,50570,25340,0,55550,15945,21535,17420,18475,22810,19760,0,0,0,4625,7260,6560,5945,8090,10475,0,6055,6945,23435,0,0,24625,26660,26695,0,0,0,0,25375,50620,37005,0,ReaverDrop
1150,3395,2385,19980,15615,36595,37970,0,2045,10825,17365,17535,3200,15185,4195,11235,17690,18495,18555,0,0,27950,0,0,7255,17465,8300,15155,29795,15100,9605,0,0,4600,6085,0,6870,7515,0,0,8400,8985,20325,0,0,0,0,0,22500,23530,25215,0,0,0,0,0,ReaverDrop
1132,3582,2464,17254,9584,11112,20310,22122,1900,6976,11752,12202,3124,11996,4118,5880,14866,16206,21194,32012,34920,30180,36386,0,11534,12616,14256,41268,0,0,0,0,0,5168,6578,0,6750,7398,0,0,7940,8632,14036,0,0,36608,0,0,16128,17574,20624,20940,0,0,0,0,ReaverDrop
1175,3415,2400,0,9990,19935,0,0,1865,5845,11260,12795,2945,8220,3970,5110,21780,23045,0,0,0,0,0,0,11380,15330,16395,20380,21605,0,0,0,0,4665,8115,0,0,0,0,0,6025,6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1225,3995,2410,2900,12540,21040,23235,0,1985,4315,15775,15980,3570,15955,4585,8990,17705,18485,18500,0,0,24805,0,0,10610,17180,11895,15810,22890,15625,12920,0,0,11810,22720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1150,3395,2385,19980,15615,36595,37970,0,2045,10825,17365,17535,3200,15185,4195,11235,17690,18495,18555,0,0,27950,0,0,7255,17465,8300,15155,29795,15100,9605,0,0,4600,6085,0,6870,7515,0,0,8400,8985,20325,0,0,0,0,0,22500,23530,25215,0,0,0,0,0,ReaverDrop
1195,3340,2170,13015,9140,15615,20305,0,1890,6960,7250,10605,2890,11140,5735,4625,13085,17445,14010,0,0,20040,0,0,11760,12750,14780,16370,0,16120,24630,0,0,3960,5250,0,18975,0,0,0,7465,8055,21950,0,0,23640,24775,26315,0,0,0,0,0,0,0,0,FastObs
