frame,pID,unitID,x,y
0,0,37,1080,328
0,0,40,1032,328
0,1,44,2112,3880
0,1,50,2064,3880
0,0,55,1056,328
0,1,56,2088,3880
0,1,61,2112,3824
0,0,83,1008,328
0,0,88,1056,272
0,1,116,2136,3880
0,0,37,1080,328
0,0,40,1032,328
0,1,44,2112,3880
0,1,50,2064,3880
0,0,55,1056,328
0,1,56,2088,3880
0,1,61,2112,3824
0,0,83,1008,328
0,0,88,1056,272
0,1,116,2136,3880
120,0,37,907,276
120,0,40,907,195
120,1,44,2292,3828
120,1,50,2273,3892
120,0,55,875,235
120,1,56,2260,3877
120,1,61,2112,3824
120,1,155,2112,3824
120,0,83,875,276
120,0,88,1056,272
120,0,154,1056,272
120,1,116,2292,3883
240,0,37,907,276
240,0,40,907,195
240,1,44,2234,3829
240,1,50,2220,3875
240,0,55,881,235
240,1,56,2254,3877
240,1,61,2112,3824
240,1,155,2112,3824
240,0,83,875,276
240,0,88,1056,272
240,0,154,1056,272
240,1,116,2255,3881
360,0,37,944,275
360,0,40,988,259
360,1,44,2287,3824
360,1,50,2237,3893
360,0,55,968,235
360,1,56,2204,3876
360,1,61,2112,3824
360,1,155,2234,3877
360,0,83,944,276
360,0,88,1056,272
360,0,154,939,404
360,1,116,2255,3883
480,0,37,970,276
480,0,40,907,195
480,1,44,2292,3828
480,1,50,2260,3892
480,0,55,875,235
480,1,56,2260,3944
480,1,61,2112,3824
480,1,155,2202,3876
480,0,83,875,276
480,0,88,1056,272
480,0,154,1003,323
480,1,157,2112,3824
480,1,116,2292,3883
480,0,156,1056,272
600,0,37,907,276
600,0,40,907,195
600,1,44,2206,3830
600,1,50,2260,3892
600,0,55,875,235
600,1,56,2260,3941
600,1,61,2112,3824
600,1,155,2260,3877
600,0,83,905,276
600,0,88,1056,272
600,0,154,907,404
600,1,157,2112,3824
600,1,116,2292,3883
600,0,156,1056,272
720,0,37,907,276
720,0,40,984,253
720,1,44,2285,3825
720,1,50,2260,3892
720,0,55,988,235
720,1,56,2191,3875
720,1,61,2112,3824
720,1,155,2260,3877
720,0,83,882,275
720,0,158,1056,272
720,0,88,1056,272
720,1,159,2112,3824
720,0,154,907,404
720,1,157,2190,3882
720,1,116,2196,3883
720,0,156,907,340
840,0,37,907,276
840,0,40,907,195
840,1,44,2292,3828
840,1,50,2246,3877
840,0,55,875,235
840,1,56,2260,3956
840,1,61,2112,3824
840,1,155,2184,3880
840,0,83,875,276
840,0,158,1056,272
840,0,88,1056,272
840,1,159,2112,3824
840,0,154,907,404
840,1,157,2257,3935
840,1,116,2292,3883
840,0,156,975,337
960,0,37,976,272
960,0,40,907,195
960,1,44,2189,3828
960,1,50,2182,3877
960,0,55,875,235
960,1,56,2260,3956
960,1,61,2112,3824
960,1,155,2260,3877
960,0,83,955,274
960,0,158,1056,272
960,0,88,1056,272
960,1,159,2112,3824
960,0,154,987,317
960,1,157,2260,3941
960,1,116,2292,3883
960,0,156,907,340
1080,0,160,1056,272
1080,0,37,929,277
1080,0,40,946,217
1080,1,44,2289,3824
1080,1,50,2258,3894
1080,0,55,962,231
1080,1,56,2182,3877
1080,1,61,2112,3824
1080,1,155,2260,3877
1080,0,83,875,275
1080,0,158,1423,255
1080,0,88,1056,272
1080,1,159,2292,3787
1080,0,154,909,404
1080,1,157,2231,3926
1080,1,116,2182,3877
1080,0,156,907,340
1080,1,161,2112,3824
1200,0,162,1536,224
1200,0,160,1056,272
1200,0,37,907,276
1200,0,40,910,198
1200,1,44,2292,3828
1200,1,50,2260,3892
1200,0,55,875,236
1200,1,56,2260,3956
1200,1,61,2112,3824
1200,1,155,2191,3880
1200,0,83,875,276
1200,0,158,1426,256
1200,0,88,1056,272
1200,1,159,2199,3789
1200,0,154,907,404
1200,1,157,2254,3932
1200,1,116,2292,3883
1200,0,156,907,340
1200,1,161,2112,3824
1320,0,162,1536,224
1320,1,163,2112,3824
1320,0,160,945,216
1320,0,37,907,276
1320,0,40,907,195
1320,1,44,2210,3830
1320,1,50,2260,3892
1320,0,55,875,235
1320,1,56,2260,3956
1320,1,61,2112,3824
1320,1,155,2260,3875
1320,0,83,988,276
1320,0,158,907,387
1320,0,88,1056,272
1320,0,164,1056,272
1320,1,159,2292,3787
1320,0,154,907,404
1320,1,157,2260,3941
1320,1,116,2292,3883
1320,0,156,981,321
1320,1,161,2103,3902
1440,0,162,1536,224
1440,1,163,2112,3824
1440,0,160,915,179
1440,0,37,907,276
1440,0,40,907,195
1440,1,44,2287,3824
1440,1,50,2260,3892
1440,0,55,924,235
1440,1,56,2182,3877
1440,1,61,2112,3824
1440,1,155,2260,3877
1440,0,83,875,276
1440,0,158,936,359
1440,0,88,1056,272
1440,0,164,1056,272
1440,1,159,2292,3787
1440,0,154,920,390
1440,1,157,2241,3936
1440,1,116,2183,3877
1440,0,156,914,342
1440,1,161,2095,3883
1440,1,165,2096,3904
1560,0,162,1536,224
1560,1,163,2112,3824
1560,0,160,907,171
1560,0,37,953,275
1560,0,40,988,259
1560,1,44,2292,3828
1560,1,50,2202,3876
1560,0,55,887,237
1560,1,56,2260,3956
1560,1,61,2112,3824
1560,1,155,2239,3878
1560,0,83,875,276
1560,0,158,907,387
1560,0,88,1056,272
1560,0,164,1056,272
1560,1,159,2234,3788
1560,0,154,948,364
1560,1,157,2236,3916
1560,1,116,2292,3883
1560,0,156,907,340
1560,1,161,2137,3903
1560,1,165,2096,3904
1680,0,162,1536,224
1680,1,163,2260,3787
1680,0,160,907,171
1680,0,37,936,277
1680,0,40,907,195
1680,1,44,2229,3829
1680,1,50,2230,3893
1680,0,55,875,235
1680,1,56,2260,3956
1680,1,61,2112,3824
1680,1,155,2222,3875
1680,0,83,934,276
1680,0,158,907,387
1680,0,88,1056,272
1680,0,164,912,157
1680,1,159,2270,3789
1680,1,166,2112,3824
1680,0,154,907,404
1680,1,157,2260,3941
1680,1,116,2292,3883
1680,0,156,907,340
1680,0,167,1056,272
1680,1,161,2112,3921
1680,1,165,2096,3904
1800,0,162,1536,224
1800,1,163,2247,3787
1800,0,160,946,209
1800,0,37,907,276
1800,0,40,907,195
1800,1,44,2285,3825
1800,1,50,2260,3892
1800,0,55,1081,221
1800,1,56,2183,3878
1800,1,61,2112,3824
1800,1,155,2260,3877
1800,0,83,875,276
1800,0,158,964,331
1800,0,88,1056,272
1800,0,164,913,144
1800,1,159,2292,3787
1800,1,166,2112,3824
1800,0,154,907,404
1800,1,157,2260,3941
1800,1,116,2217,3877
1800,0,156,934,322
1800,0,167,1056,272
1800,1,161,2133,3861
1800,1,165,2096,3904
1920,0,162,1536,224
1920,0,168,1568,304
1920,1,163,2200,3787
1920,0,160,907,171
1920,0,37,907,276
1920,0,40,987,255
1920,1,44,2292,3828
1920,1,50,2260,3892
1920,0,55,1546,262
1920,1,56,2257,3956
1920,1,61,2112,3824
1920,1,155,2254,3877
1920,0,83,894,276
1920,0,158,907,387
1920,0,88,1056,272
1920,0,164,907,139
1920,1,159,2279,3787
1920,1,166,2224,3836
1920,0,154,907,404
1920,1,157,2202,3883
1920,1,116,2287,3886
1920,0,156,978,334
1920,0,167,1056,272
1920,1,161,2066,3903
1920,1,165,2096,3904
2040,0,162,1536,224
2040,1,169,2112,3824
2040,0,168,1568,304
2040,1,163,2260,3723
2040,0,160,907,171
2040,0,37,907,276
2040,0,40,907,195
2040,1,44,2182,3830
2040,1,50,2260,3892
2040,0,55,1772,604
2040,1,56,2260,3956
2040,1,61,2112,3824
2040,1,155,2193,3877
2040,0,83,889,275
2040,0,158,907,387
2040,0,88,1056,272
2040,0,164,936,171
2040,1,159,2218,3787
2040,0,170,1056,272
2040,1,166,2230,3785
2040,0,154,985,314
2040,1,157,2260,3941
2040,1,116,2292,3883
2040,0,156,907,340
2040,0,167,875,259
2040,1,161,1994,3869
2040,1,165,2096,3904
2160,0,162,1536,224
2160,1,169,2112,3824
2160,0,168,1568,304
2160,1,163,2253,3723
2160,0,160,988,235
2160,0,37,963,273
2160,0,40,907,195
2160,1,44,2292,3828
2160,1,50,2209,3876
2160,0,55,1568,1023
