frame,pID,unitID,x,y
0,0,5,784,960
0,0,9,800,930
0,0,17,696,960
0,0,33,736,954
0,0,39,835,977
0,0,34,736,912
0,1,53,1344,3528
0,0,70,760,960
0,1,75,1344,3472
0,0,97,736,954
0,0,100,736,954
0,1,102,1320,3528
0,1,110,1368,3528
0,1,120,1296,3528
0,0,5,784,960
0,0,9,800,930
0,0,17,696,960
0,0,33,736,954
0,0,39,835,977
0,0,34,736,912
0,1,53,1344,3528
0,0,70,760,960
0,1,75,1344,3472
0,0,97,736,954
0,0,100,736,954
0,1,102,1320,3528
0,1,110,1368,3528
0,1,120,1296,3528
120,0,5,555,948
120,0,9,587,956
120,0,17,587,939
120,0,33,746,964
120,0,39,836,995
120,0,34,736,912
120,1,53,1300,3604
120,0,70,587,852
120,1,75,1344,3472
120,1,164,1344,3472
120,0,97,766,953
120,0,100,756,963
120,1,102,1195,3540
120,1,110,1432,3604
120,1,120,1195,3604
240,0,5,672,935
240,0,9,601,956
240,0,17,587,939
240,0,33,746,964
240,0,39,843,1094
240,0,34,736,912
240,1,53,1300,3592
240,0,70,675,868
240,1,75,1344,3472
240,1,164,1344,3472
240,0,97,765,953
240,0,100,747,953
240,1,102,1195,3540
240,1,110,1393,3548
240,1,120,1230,3566
360,0,5,555,948
360,0,9,594,956
360,0,17,675,938
360,0,33,732,958
360,0,39,850,1194
360,0,34,736,912
360,1,53,1300,3555
360,0,70,587,868
360,1,75,1344,3472
360,0,165,805,902
360,1,164,1380,3597
360,0,97,763,963
360,0,100,787,953
360,1,102,1195,3540
360,1,110,1430,3604
360,1,120,1195,3589
480,0,5,555,948
480,0,9,587,956
480,0,17,587,939
480,0,33,555,852
480,0,39,857,1293
480,0,34,736,912
480,1,53,1300,3604
480,1,166,1344,3472
480,0,70,587,868
480,1,75,1344,3472
480,0,165,796,924
480,1,164,1387,3633
480,0,97,763,961
480,0,100,795,954
480,1,102,1268,3524
480,1,110,1432,3604
480,1,120,1195,3589
600,0,5,666,935
600,0,9,587,956
600,0,17,587,939
600,0,33,555,852
600,0,39,864,1393
600,0,34,736,912
600,1,53,1300,3604
600,1,166,1344,3472
600,0,70,587,868
600,1,75,1344,3472
600,0,165,794,953
600,1,164,1387,3636
600,0,97,763,961
600,0,100,767,967
600,1,102,1197,3542
600,1,110,1427,3584
600,1,120,1269,3525
720,0,5,555,948
720,0,9,668,952
720,0,17,587,939
720,0,33,658,856
720,1,167,1344,3472
720,0,39,871,1492
720,0,34,736,912
720,1,53,1300,3528
720,1,166,1327,3528
720,0,70,631,868
720,1,75,1344,3472
720,0,165,794,953
720,1,164,1387,3526
720,0,97,763,961
720,0,100,782,963
720,1,102,1195,3540
720,1,110,1412,3587
720,1,120,1195,3589
840,0,5,555,948
840,0,9,587,956
840,0,17,641,939
840,0,33,555,852
840,1,167,1344,3472
840,0,39,878,1591
840,0,34,736,912
840,1,53,1300,3604
840,1,166,1258,3604
840,0,70,587,868
840,1,75,1344,3472
840,0,168,794,931
840,0,165,794,953
840,1,164,1387,3636
840,0,97,587,843
840,0,100,753,953
840,1,102,1195,3540
840,1,110,1432,3604
840,1,120,1204,3589
960,0,5,666,935
960,0,9,587,956
960,0,17,587,939
960,0,33,555,852
960,1,167,1344,3472
960,0,39,885,1691
960,0,34,736,912
960,1,53,1300,3604
960,1,166,1258,3604
960,0,70,587,868
960,1,75,1344,3472
960,0,168,804,941
960,0,165,770,983
960,1,164,1387,3552
960,0,97,658,869
960,0,100,763,961
960,1,102,1239,3524
960,1,110,1426,3582
960,1,120,1227,3558
1080,0,5,555,947
1080,0,9,587,956
1080,0,17,587,939
1080,0,33,675,868
1080,1,167,1291,3636
1080,0,39,892,1790
1080,0,34,736,912
1080,1,53,1298,3525
1080,1,166,1322,3529
1080,0,70,601,868
1080,1,75,1344,3472
1080,0,168,804,941
1080,0,165,555,1003
1080,0,170,795,912
1080,1,164,1387,3635
1080,0,97,587,843
1080,0,100,744,961
1080,1,102,1243,3541
1080,1,110,1414,3589
1080,1,120,1195,3589
1080,1,169,1344,3472
1200,0,5,555,948
1200,0,9,672,956
1200,0,17,613,939
1200,0,33,555,852
1200,1,167,1299,3525
1200,0,39,899,1889
1200,0,34,736,912
1200,1,53,1300,3604
1200,1,166,1258,3604
1200,0,70,618,868
1200,1,75,1344,3472
1200,0,168,798,953
1200,0,165,555,1012
1200,0,170,799,940
1200,1,164,1387,3636
1200,0,97,587,843
1200,0,100,744,961
1200,1,102,1195,3540
1200,1,110,1432,3604
1200,1,120,1230,3569
1200,1,169,1344,3472
1320,0,5,583,943
1320,0,9,587,956
1320,0,17,601,939
1320,0,33,555,852
1320,1,167,1300,3636
1320,0,39,906,1989
1320,0,34,736,912
1320,1,53,1300,3604
1320,1,166,1260,3586
1320,1,75,1344,3472
1320,0,168,587,1012
1320,0,165,629,961
1320,0,170,814,960
1320,1,164,1387,3525
1320,0,97,587,843
1320,0,100,744,961
1320,1,102,1045,3336
1320,1,110,1432,3600
1320,1,120,1195,3588
1320,0,151,736,736
1320,1,169,1344,3472
1440,0,5,624,939
1440,0,9,587,956
1440,0,17,587,939
1440,0,33,665,861
1440,1,167,1300,3636
1440,0,39,913,2088
1440,0,34,736,912
1440,1,53,1300,3585
1440,0,172,649,853
1440,1,171,1344,3472
1440,1,166,1299,3565
1440,1,75,1344,3472
1440,0,168,640,983
1440,0,165,555,1012
1440,0,170,802,961
1440,1,164,1387,3636
1440,0,97,618,843
1440,0,100,619,1044
1440,0,174,794,912
1440,1,102,536,3122
1440,1,110,1377,3551
1440,1,120,1195,3589
1440,1,169,1215,3604
1560,0,5,555,948
1560,0,9,613,956
1560,0,17,587,939
1560,0,33,555,852
1560,1,167,1300,3525
1560,0,39,920,2188
1560,0,34,736,912
1560,1,53,1300,3555
1560,0,172,594,868
1560,1,171,1344,3472
1560,1,166,1258,3604
1560,1,75,1344,3472
1560,0,168,612,984
1560,0,165,619,994
1560,0,170,802,961
1560,1,164,1387,3565
1560,0,97,587,843
1560,0,100,683,956
1560,0,174,804,922
1560,1,102,529,2847
1560,1,110,1432,3604
1560,1,120,1263,3537
1560,1,175,496,2848
1560,1,169,1195,3604
1680,0,5,555,948
1680,0,9,587,956
1680,0,17,646,936
1680,1,176,1344,3472
1680,0,33,555,852
1680,1,167,1300,3636
1680,0,39,927,2287
1680,0,34,736,912
1680,1,53,1300,3604
1680,0,172,587,868
1680,1,171,1291,3604
1680,1,166,1305,3541
1680,1,75,1344,3472
1680,0,168,587,1012
1680,0,165,557,1011
1680,0,170,801,954
1680,1,164,1387,3634
1680,0,97,587,843
1680,0,100,587,1044
1680,0,174,804,922
1680,1,102,510,2836
1680,1,110,1432,3604
1680,1,120,1195,3589
1680,1,175,496,2848
1680,1,169,1274,3525
1800,0,5,659,939
1800,0,9,587,956
1800,0,17,587,939
1800,1,176,1344,3472
1800,0,33,624,871
1800,1,167,1300,3636
1800,0,39,908,2377
1800,0,34,736,912
1800,1,53,1300,3604
1800,0,172,587,868
1800,1,171,1291,3537
1800,1,166,1291,3636
1800,1,75,1344,3472
1800,0,168,587,1012
1800,0,165,555,1012
1800,0,170,1151,629
1800,1,164,1387,3636
1800,0,97,675,868
1800,0,100,587,1044
1800,0,174,804,922
1800,1,102,506,2840
1800,1,110,1368,3525
1800,0,177,804,902
1800,1,120,1195,3589
1800,1,175,496,2848
1800,1,169,1195,3604
1920,0,5,555,948
1920,0,9,587,956
1920,0,17,587,939
1920,1,176,1344,3472
1920,0,33,555,852
1920,1,167,1297,3592
1920,0,39,839,2448
1920,0,34,736,912
1920,1,53,1300,3525
1920,0,172,642,866
1920,1,171,1291,3636
1920,1,166,1300,3636
1920,1,75,1344,3472
1920,0,168,675,948
1920,0,165,668,947
1920,0,170,1611,492
1920,1,164,1387,3525
1920,0,97,587,843
1920,0,100,669,956
1920,0,174,804,922
1920,1,102,457,2884
1920,1,110,1432,3604
1920,0,177,794,896
1920,1,120,1274,3525
1920,1,175,496,2848
1920,1,169,1195,3604
2040,0,5,555,948
2040,0,9,660,953
2040,0,17,587,939
